k,r2_all,rmse_all,n_scored,coverage_pct,r2_common,n_common
1,0.37207613174306386,73.17108721939705,56,43.07692307692308,0.37207613174306386,56.0
2,0.12638397155897307,86.30705726337345,56,43.07692307692308,,
3,0.13094900395519493,99.05728722248206,40,30.76923076923077,,
4,-0.0849213506954134,46.45660300503549,25,19.230769230769234,,
5,-0.16255114087533573,46.91080207191057,22,16.923076923076923,,
