k,r2_all,rmse_all,n_scored,coverage_pct,r2_common,n_common
1,0.784294127961821,50.54966918056835,110,100.0,0.784294127961821,110.0
2,0.8110187447727737,48.13134932947672,106,96.36363636363636,,
3,0.7422403654492208,56.21162314931374,106,96.36363636363636,,
4,0.8440567070990463,45.86266714936998,71,64.54545454545455,,
5,0.8440567070990463,45.86266714936998,71,64.54545454545455,,
