sat_date;fecha;SENSOR;delta_days;lat;lon;latitud;longitud;concentracion;unidades;b2;b3;b4;b5
04/04/2022;04/04/2022 08:24;LANDSAT;0.35;10.8740797;-74.33000183;10.87408;-74.33;44.4;mg/L;0.0107875;0.0550625;0.0390025;0.01901
11/03/2019;11/03/2019 12:20;LANDSAT;0.513888889;10.8569603;-74.41130066;10.85696;-74.4113;45;mg/L;0.02374;0.0508;0.0278925;0.0073775
21/02/2024;19/02/2024 10:42;LANDSAT;1.554166667;10.73208046;-74.42758179;10.73208;-74.42758;46.7;mg/L;0.019175;0.0492875;0.0310825;0.0392225
09/08/2016;08/08/2016 15:45;LANDSAT;0.34375;10.8740797;-74.33000183;10.87408;-74.33;47;mg/L;0.0140875;0.037215;0.02814;0.02781
26/02/2020;25/02/2020 09:46;LANDSAT;0.593055556;10.77441025;-74.37545013;10.77441;-74.37545;47.4;mg/L;0.017525;0.041285;0.0282225;0.02165
15/02/2022;15/02/2022 09:00;LANDSAT;0.375;10.77441025;-74.37545013;10.77441;-74.37545;48.4;mg/L;0.0064425;0.0418075;0.03133;0.0236025
15/02/2022;15/02/2022 10:09;LANDSAT;0.422916667;10.8569603;-74.41130066;10.85696;-74.4113;52;mg/L;0.0173325;0.0399925;0.041835;0.0293775
04/04/2022;04/04/2022 11:19;LANDSAT;0.471527778;10.8569603;-74.41130066;10.85696;-74.4113;55;mg/L;0.0125475;0.037655;0.0287175;0.02726
15/02/2022;15/02/2022 09:29;LANDSAT;0.395138889;10.73208046;-74.42758179;10.73208;-74.42758;62.4;mg/L;0.00988;0.0341075;0.0313025;0.02539
26/02/2020;25/02/2020 09:44;LANDSAT;0.594444444;10.77441025;-74.37545013;10.77441;-74.37545;63.1;mg/L;0.0106225;0.0365825;0.02253;0.016205
15/02/2022;15/02/2022 10:12;LANDSAT;0.425;10.8569603;-74.41130066;10.85696;-74.4113;63.6;mg/L;0.0173325;0.0399925;0.041835;0.0293775
09/08/2016;08/08/2016 14:42;LANDSAT;0.3875;10.73208046;-74.42758179;10.73208;-74.42758;64.7;mg/L;0.03529;0.0353175;0.0451625;0.050965
27/01/2015;26/01/2015 12:16;LANDSAT;0.488888889;10.8569603;-74.41130066;10.85696;-74.4113;66;mg/L;0.03078;0.0421375;0.0327875;0.02121
04/04/2022;01/04/2022 03:50;LANDSAT;2.840277778;10.8569603;-74.41130066;10.85696;-74.4113;66;mg/L;0.0290475;0.037655;0.0287175;0.02451
15/02/2022;15/02/2022 08:07;LANDSAT;0.338194444;10.8740797;-74.33000183;10.87408;-74.33;66.1;mg/L;0.028525;0.043155;0.03452;0.027865
22/01/2019;21/01/2019 13:00;LANDSAT;0.458333333;10.8569603;-74.41130066;10.85696;-74.4113;75.3;mg/L;0.0310825;0.04222;0.0414775;0.0159575
26/02/2020;25/02/2020 08:59;LANDSAT;0.625694444;10.8740797;-74.33000183;10.87408;-74.33;75.8;mg/L;0.03089;0.0561075;0.04805;0.0287725
26/02/2020;25/02/2020 11:04;LANDSAT;0.538888889;10.8569603;-74.41130066;10.85696;-74.4113;78.9;mg/L;0.02132;0.03925;0.02429;0.0120525
21/02/2024;19/02/2024 10:09;LANDSAT;1.577083333;10.77441025;-74.37545013;10.77441;-74.37545;80.2;mg/L;0.01505;0.042935;0.0236025;0.0449975
21/02/2024;19/02/2024 11:36;LANDSAT;1.516666667;10.8569603;-74.41130066;10.85696;-74.4113;82.9;mg/L;0.0275075;0.0242075;0.045135;0.0227225
26/02/2020;25/02/2020 10:24;LANDSAT;0.566666667;10.73208046;-74.42758179;10.73208;-74.42758;87.1;mg/L;0.018515;0.033365;0.023355;0.0222
16/01/2017;16/01/2017 14:15;LANDSAT;0.59375;10.8569603;-74.41130066;10.85696;-74.4113;89.9;mg/L;0.02418;0.043375;0.0287725;0.01274
15/02/2022;15/02/2022 09:05;LANDSAT;0.378472222;10.77441025;-74.37545013;10.77441;-74.37545;96.1;mg/L;0.0094125;0.0432925;0.0328975;0.0248675
05/03/2017;06/03/2017 13:45;LANDSAT;1.572916667;10.8569603;-74.41130066;10.85696;-74.4113;104.5;mg/L;0.0119425;0.04629;0.0270675;0.03309
09/08/2016;08/08/2016 15:15;LANDSAT;0.364583333;10.77441025;-74.37545013;10.77441;-74.37545;105;mg/L;0.0089725;0.03518;0.0470875;0.021265
15/02/2022;15/02/2022 08:10;LANDSAT;0.340277778;10.8740797;-74.33000183;10.87408;-74.33;113;mg/L;0.013675;0.0447225;0.0366375;0.03012
15/02/2016;15/02/2016 14:55;LANDSAT;0.621527778;10.8569603;-74.41130066;10.85696;-74.4113;118;mg/L;0.0231075;0.0472525;0.0303125;0.0180475
09/08/2016;08/08/2016 15:17;LANDSAT;0.363194444;10.77441025;-74.37545013;10.77441;-74.37545;130;mg/L;0.0195325;0.0353175;0.02011;0.02253
09/08/2016;08/08/2016 13:20;LANDSAT;0.444444444;10.8569603;-74.41130066;10.85696;-74.4113;136;mg/L;0.0167825;0.0369675;0.0479125;0.0229425
04/04/2022;04/04/2022 09:30;LANDSAT;0.395833333;10.77441025;-74.37545013;10.77441;-74.37545;138;mg/L;0.039745;0.0493975;0.0616625;0.060975
09/08/2016;08/08/2016 13:22;LANDSAT;0.443055556;10.8569603;-74.41130066;10.85696;-74.4113;146;mg/L;0.0233825;0.0369675;0.0479125;0.0229425
04/04/2022;04/04/2022 10:01;LANDSAT;0.417361111;10.73208046;-74.42758179;10.73208;-74.42758;149;mg/L;0.02308;0.0449425;0.04684;0.0360325
15/02/2016;15/02/2016 15:22;LANDSAT;0.640277778;10.8740797;-74.33000183;10.87408;-74.33;157;mg/L;0.02803;0.0473075;0.0471425;0.0349875
15/02/2016;15/02/2016 15:25;LANDSAT;0.642361111;10.8740797;-74.33000183;10.87408;-74.33;159;mg/L;0.0424125;0.0418075;0.0594625;0.032705
09/05/2023;09/05/2023 10:10;LANDSAT;0.423611111;10.8569603;-74.41130066;10.85696;-74.4113;168;mg/L;0.04431;0.048765;0.0555025;0.056355
16/03/2015;16/03/2015 14:30;LANDSAT;0.604166667;10.8569603;-74.41130066;10.85696;-74.4113;224;mg/L;0.047445;0.0641925;0.06851;0.0636425
15/02/2016;15/02/2016 14:59;LANDSAT;0.624305556;10.8569603;-74.41130066;10.85696;-74.4113;231;mg/L;0.0533575;0.0747525;0.0633125;0.0730475
04/04/2022;04/04/2022 08:26;LANDSAT;0.351388889;10.8740797;-74.33000183;10.87408;-74.33;232;mg/L;0.0585275;0.06884;0.071205;0.072855
