threshold,n,r2,rmse
0.5,32,0.600367884197,42.097087496802565
0.75,66,0.7345445347902277,60.5391681206019
1.0,67,0.7345135548906554,60.10538898570714
1.25,67,0.7345135548906554,60.10538898570714
1.5,84,0.7145134597490275,58.391758278039916
1.75,103,0.6733225344932803,59.95532440825441
2.0,104,0.6691599921206632,60.04880776441678
2.25,104,0.6691599921206632,60.04880776441678
2.5,107,0.6633802251660482,60.018178604438724
2.84,110,0.6618979551773376,63.286522499788866
