k,r2_all,rmse_all,n_scored,coverage_pct,r2_common,n_common
1,0.5310977945067794,38.173485188788334,74,100.0,0.5310977945067794,74.0
2,0.5279937861800887,38.299625955907054,74,100.0,,
3,0.33995423139556,35.43332924269654,26,35.13513513513514,,
