id_estacion;SENSOR;latitud;longitud;fecha;sat_date;delta_days;concentracion;unidades;SR_B2;SR_B3;SR_B4;SR_B5
17524;SENTINEL;10.82579;-74.59268;19/11/2024 12:28;18/11/2024;1.519444444;32.4;mg/L;0.0934;0.119;0.133;0.078
57927;SENTINEL;10.84175;BADLON;27/01/2025;27/01/2025;0.507638889;32.8;mg/L;0.0608;0.087;0.0818;0.0393
17524;SENTINEL;10.82579;BADLON;15/04/2024;15/04/2024;0.500694444;37.2;mg/L;0.2818;0.3264;0.3396;0.298
17523;SENTINEL;10.84438;BADLON;16/09/2019;16/09/2019;0.509027778;37.9;mg/L;0.0669;0.0584;0.0522;0.0505
17523;SENTINEL;10.84438;-74.50986;24/05/2021 10:44;26/05/2021;1.552777778;38.3;mg/L;0.0743;0.1003;0.0829;0.0277
17523;SENTINEL;10.84438;BADLON;06/07/2021;07/07/2021;0.520138889;39.8;mg/L;0.0661;0.0949;0.0879;0.0375
17523;SENTINEL;10.84438;BADLON;27/01/2025;27/01/2025;0.486111111;39.9;mg/L;0.0546;0.0766;0.0763;0.0346
17527;SENTINEL;10.833;-74.57445;12/04/2023 12:08;11/04/2023;1.505555556;41.2;mg/L;0.7408;0.6452;0.6108;0.606
57926;SENTINEL;10.82929;BADLON;15/04/2024;15/04/2024;0.492361111;42;mg/L;0.0586;0.0602;0.0732;0.0702
17527;SENTINEL;10.833;BADLON;20/05/2024;20/05/2024;0.450694444;42.3;mg/L;0.1706;0.1986;0.1924;0.1472
17523;SENTINEL;10.84438;BADLON;05/09/2023;05/09/2023;0.459722222;42.5;mg/L;0.0375;0.061;0.0404;0.0292
57926;SENTINEL;10.82929;BADLON;27/01/2025;27/01/2025;0.527083333;42.9;mg/L;0.0828;0.088;0.0874;0.0742
17527;SENTINEL;10.833;BADLON;03/12/2018;03/12/2018;0.479861111;43.4;mg/L;0.0611;0.0902;0.0974;0.0314
17524;SENTINEL;10.82579;BADLON;05/09/2023;05/09/2023;0.477083333;43.8;mg/L;0.0676;0.0939;0.105;0.0411
57927;SENTINEL;10.84175;BADLON;15/04/2024;15/04/2024;0.472222222;45.2;mg/L;0.0534;0.0843;0.0674;0.0367
17523;SENTINEL;10.84438;-74.50986;17/03/2025 11:34;16/03/2025;1.481944444;45.4;mg/L;0.077;0.0976;0.0616;0.0081
17524;SENTINEL;10.82579;-74.59268;09/12/2025 12:13;08/12/2025;1.509027778;50.6;mg/L;0.0664;0.0863;0.0852;0.132
17527;SENTINEL;10.833;-74.57445;11/03/2019 13:50;10/03/2019;1.576388889;50.8;mg/L;0.0548;0.0835;0.0609;0.0459
17527;SENTINEL;10.833;-74.57445;06/07/2021 11:51;05/07/2021;1.49375;51.5;mg/L;0.1598;0.1808;0.1772;0.1188
17527;SENTINEL;10.833;-74.57445;25/01/2023 12:00;23/01/2023;2.5;52.1;mg/L;0.1854;0.2052;0.1886;0.194
17527;SENTINEL;10.833;BADLON;12/02/2018;13/02/2018;0.482638889;53.8;mg/L;0.08;0.1;0.1016;0.0658
